rank,id,Player,Team,Position,Floor,Mean,Ceiling,SD,Risk,VOR,Drop Off,Tier,ADP,AAV,injury_status,pos_rank
1,2560955,Josh Allen,BUF,QB,369,387,409,14.8,2.81,192,27.6,1,15,36.4,NA,1
2,2558125,Patrick Mahomes,KC,QB,337,360,386,24.1,4.29,165,22.6,2,25.4,27.2,NA,2
3,2565045,Justin Herbert,LAC,QB,326,337,359,7.7,2.6,142,5.92,2,28.6,27.2,NA,3
4,2560757,Lamar Jackson,BAL,QB,303,331,355,25.9,4.44,136,8.26,2,40.5,23,NA,4
5,2562382,Kyler Murray,ARI,QB,299,323,352,15.8,3.46,128,1.18,2,49.9,18.6,NA,5
6,2504211,Tom Brady,TB,QB,301,322,331,4.6,2.51,127,1.55,2,64.2,14.5,NA,6
7,2564832,Jalen Hurts,PHI,QB,299,320,345,23.9,4.41,125,0.313,2,55,16.8,NA,7
8,2506363,Aaron Rodgers,GB,QB,301,320,339,25.7,4.55,125,1.64,2,63.4,14.4,NA,8
9,2555260,Dak Prescott,DAL,QB,297,318,343,16.2,3.61,123,14.5,3,59.2,17.1,NA,9
10,2532975,Russell Wilson,DEN,QB,280,304,330,21.7,4.21,109,3.27,3,74.8,17.1,NA,10
11,2564148,Jonathan Taylor,IND,RB,251,304,340,19.3,3.36,102,24.7,1,1.48,55.8,NA,1
12,2563722,Joe Burrow,CIN,QB,278,300,332,23,4.27,105,0.215,3,49.3,21.9,Q,11
13,79860,Matthew Stafford,LAR,QB,268,300,324,33.4,5.19,105,12.5,4,72.3,14.1,Q,12
14,2532820,Kirk Cousins,MIN,QB,271,288,301,12.5,3.01,92.5,4.79,4,95.6,11.7,NA,13
15,2566532,Trey Lance,SF,QB,222,283,314,39.7,6.16,87.7,5.04,4,96.4,11.9,NA,14
16,2556075,Derrick Henry,TEN,RB,240,279,332,34.1,5.2,77.3,28.2,2,6.37,48,NA,2
17,2543499,Derek Carr,LVR,QB,258,278,304,19.7,3.98,82.7,13.9,5,101,13.1,NA,15
18,2532956,Ryan Tannehill,TEN,QB,243,264,288,21.2,4.93,68.8,6.88,5,140,6.74,NA,16
19,2564499,Tua Tagovailoa,MIA,QB,241,257,275,14.5,3.55,62,10.3,6,122,9.44,NA,17
20,2559169,Austin Ekeler,LAC,RB,235,251,274,9.86,2.33,49.1,5.01,2,4.88,48.2,NA,3
21,2552033,Jameis Winston,NO,QB,183,247,271,16.2,4.22,51.7,1.57,6,141,7.2,Q,18
22,2557997,Christian McCaffrey,CAR,RB,221,246,301,19.7,3.52,44.1,7.8,3,10.4,50.2,NA,4
23,2566163,Trevor Lawrence,JAC,QB,204,245,267,12.2,3.65,50.1,1.68,6,129,10.1,NA,19
24,310,Matt Ryan,IND,QB,227,243,261,13.7,3.81,48.4,4.01,6,132,8.99,NA,20
25,2565920,Justin Fields,CHI,QB,197,239,283,40.4,6.64,44.4,1.37,6,130,8.56,NA,21
26,2557898,Cooper Kupp,LAR,WR,220,239,275,12.6,2.93,69.6,26.7,1,5.27,46.5,NA,1
27,2562299,Daniel Jones,NYG,QB,202,238,282,28,5.81,43,4.11,6,141,9.5,NA,22
28,2557991,Dalvin Cook,MIN,RB,208,238,263,23.1,3.95,36.3,5.39,3,8.37,46.7,NA,5
29,2555259,Carson Wentz,WAS,QB,202,234,259,24.2,4.97,38.9,3.75,6,145,6.77,NA,23
30,2557976,Joe Mixon,CIN,RB,213,233,254,17.7,3.31,30.9,8.74,4,14,43.2,NA,6
31,2566334,Mac Jones,NE,QB,198,230,260,22.8,4.83,35.2,7.99,7,138,7.21,NA,24
32,2566448,Najee Harris,PIT,RB,200,224,260,19.5,3.76,22.1,0.786,4,8.86,43.3,NA,7
33,2561021,Nick Chubb,CLE,RB,178,223,258,44.3,6.57,21.3,16.2,5,22.2,36,NA,8
34,2555334,Jared Goff,DET,QB,193,222,250,19.5,5.22,27.2,0.55,7,143,5.96,NA,25
35,2566391,Zach Wilson,NYJ,QB,204,222,236,12.2,3.84,26.6,11,7,146,6.07,NA,26
36,2564556,Justin Jefferson,MIN,WR,200,213,235,9.67,2.34,42.9,2.59,1,10.9,45.3,NA,2
37,2566136,Davis Mills,HOU,QB,179,211,238,31.3,6.84,15.7,7.93,8,156,7.89,NA,27
38,2562721,Deebo Samuel,SF,WR,185,210,231,20.4,4.58,40.3,2.87,1,20.7,30.2,NA,3
39,2558019,Alvin Kamara,NO,RB,157,207,239,31.9,6.15,5.11,5.11,5,20.3,34,NA,9
40,2565941,Ja'Marr Chase,CIN,WR,196,207,241,8.58,2.17,37.5,9.95,2,13.6,44,NA,4
41,2552466,Marcus Mariota,ATL,QB,162,203,253,38.1,7.57,7.73,4.36,8,135,7.26,NA,28
42,2557973,Leonard Fournette,TB,RB,176,202,229,30.2,5.45,0,0.312,5,26,33,NA,10
43,2557978,James Conner,ARI,RB,177,202,217,13.6,3.82,-0.312,1.39,5,32.6,25.3,NA,11
44,2560968,Saquon Barkley,NYG,RB,171,200,237,28.7,5.46,-1.7,2.58,5,32.9,34.9,NA,12
45,2560800,Baker Mayfield,CAR,QB,151,198,239,42.8,9.91,3.37,3.37,8,157,7.26,NA,29
46,2566049,Javonte Williams,DEN,RB,178,198,232,14.1,3.61,-4.29,0.14,5,23,34.5,NA,13
47,2562502,David Montgomery,CHI,RB,176,197,214,19.2,4.31,-4.43,1.5,5,33.9,23.1,NA,14
48,2543495,Davante Adams,LVR,WR,174,197,220,22.7,4.81,27.5,11.5,3,21.8,40.2,NA,5
49,2558116,Aaron Jones,GB,RB,172,196,226,25.7,4.89,-5.92,0.97,6,22.5,32.2,NA,15
50,2558063,Deshaun Watson,CLE,QB,125,195,274,47.8,11.2,0,36.2,9,115,8.65,NA,30
51,2564319,Cam Akers,LAR,RB,167,195,227,23.9,5.17,-6.89,0.183,6,46.6,24,NA,16
52,2555224,Ezekiel Elliott,DAL,RB,161,195,223,23.9,4.92,-7.07,3.42,6,37.1,30.7,NA,17
53,2563965,D'Andre Swift,DET,RB,166,191,237,22,4.43,-10.5,4.29,6,19.8,35.4,NA,18
54,2565276,Antonio Gibson,WAS,RB,171,187,211,17.1,4.31,-14.8,1.55,6,35.8,20.4,Q,19
55,2566538,Elijah Mitchell,SF,RB,177,186,206,8.09,3.07,-16.3,1.44,6,49.5,14.5,Q,20
56,2543468,Mike Evans,TB,WR,170,186,198,4.98,1.7,16,2.52,3,27.6,28.5,NA,6
57,2562377,Josh Jacobs,LVR,RB,171,184,209,9.47,3.3,-17.8,11.9,7,45.9,20.5,Q,21
58,2552608,Stefon Diggs,BUF,WR,163,183,198,9.3,2.37,13.4,2.26,3,21,35.7,NA,7
59,2563848,CeeDee Lamb,DAL,WR,150,181,202,11.4,2.87,11.2,4.55,3,21.9,32.9,Q,8
60,2540258,Travis Kelce,KC,TE,166,181,196,11.2,3.04,121,13.9,1,15.2,34.6,NA,1
61,2556214,Tyreek Hill,MIA,WR,162,176,195,13.8,3.37,6.64,6.64,4,30.2,30.8,NA,9
62,2563548,J.K. Dobbins,BAL,RB,147,172,210,14.8,3.89,-29.6,3.78,7,44.8,18.5,Q,22
63,2562238,A.J. Brown,PHI,WR,147,170,195,21.5,4.84,0,8.28,5,36.6,21.5,NA,10
64,2568030,Breece Hall,NYJ,RB,145,168,189,19.6,5.56,-33.4,1.92,7,53.3,31.2,NA,23
65,2562281,Damien Harris,NE,RB,147,167,190,11.7,3.54,-35.3,0.572,7,59.3,10.8,NA,24
66,2560957,Mark Andrews,BAL,TE,163,167,194,4.37,1.43,107,32.8,2,22.6,29.5,NA,2
67,2566157,Travis Etienne,JAC,RB,144,166,187,22.5,4.81,-35.9,7.04,8,56.4,18.3,NA,25
68,2563731,Tee Higgins,CIN,WR,152,161,177,9.43,2.66,-8.28,4.94,5,36.1,21.3,Q,11
69,2558008,Mitchell Trubisky,PIT,QB,110,159,200,44.2,8.34,-36.2,72.9,10,164,6.87,NA,31
